name,F,M,All,ratio,gender
Chet,,5454.0,5454.0,,
Leonor,5442.0,10.0,5452.0,-9.08799314636,0.0
Granville,,5451.0,5451.0,,
Judie,5450.0,,5450.0,,
Kimora,5447.0,,5447.0,,
Hamilton,,5446.0,5446.0,,
Edd,13.0,5432.0,5445.0,8.7068280461,1.0
Semaj,1309.0,4135.0,5444.0,1.65942223211,1.0
Era,5398.0,35.0,5433.0,-7.26892624452,0.0
Walton,10.0,5422.0,5432.0,9.08268130295,1.0
Nila,5430.0,,5430.0,,
Dian,5363.0,65.0,5428.0,-6.366456725,0.0
Brigid,5424.0,,5424.0,,
Maira,5405.0,17.0,5422.0,-8.31261606137,0.0
Pilar,4666.0,752.0,5418.0,-2.63338174031,0.0
Jere,1159.0,4253.0,5412.0,1.87560028862,1.0
Abril,5406.0,5.0,5411.0,-10.0784177016,0.0
Leopoldo,,5409.0,5409.0,,
Hulda,5406.0,,5406.0,,
Vivienne,5399.0,,5399.0,,
Boyce,58.0,5339.0,5397.0,6.52437283854,1.0
Brandee,5396.0,,5396.0,,
Katlin,5270.0,126.0,5396.0,-5.38630732302,0.0
Edgardo,,5394.0,5394.0,,
Demario,17.0,5373.0,5390.0,8.30404928146,1.0
Alfonzo,,5389.0,5389.0,,
Shyann,5388.0,,5388.0,,
Adriel,498.0,4884.0,5382.0,3.29384555292,1.0
Regis,344.0,5037.0,5381.0,3.87208426096,1.0
Keshia,5371.0,6.0,5377.0,-9.80601250543,0.0
Katerina,5365.0,,5365.0,,
Demond,25.0,5340.0,5365.0,7.7387678368,1.0
Ines,4961.0,403.0,5364.0,-3.62177921336,0.0
Dock,,5364.0,5364.0,,
Mitch,,5364.0,5364.0,,
Larue,3867.0,1496.0,5363.0,-1.3701045892,0.0
Fawn,5362.0,,5362.0,,
Jackeline,5360.0,,5360.0,,
Elden,11.0,5349.0,5360.0,8.92562186971,1.0
Nicolle,5359.0,,5359.0,,
Tristian,573.0,4784.0,5357.0,3.06161034544,1.0
Bryana,5347.0,,5347.0,,
Jonna,5346.0,,5346.0,,
Bethel,4367.0,978.0,5345.0,-2.15873616083,0.0
Nichelle,5340.0,5.0,5345.0,-10.0606959317,0.0
Journey,4747.0,587.0,5334.0,-3.01558364132,0.0
Glynn,417.0,4914.0,5331.0,3.55877856892,1.0
Lizabeth,5331.0,,5331.0,,
Caylee,5330.0,,5330.0,,
Lucie,5330.0,,5330.0,,
Alvis,321.0,5008.0,5329.0,3.96358935981,1.0
Mozelle,5316.0,11.0,5327.0,-8.91669377064,0.0
Tressie,5313.0,6.0,5319.0,-9.79034849675,0.0
Fran,4962.0,349.0,5311.0,-3.82962279368,0.0
Corrina,5311.0,,5311.0,,
Joellen,5309.0,,5309.0,,
Rupert,16.0,5282.0,5298.0,8.36686858617,1.0
Brycen,21.0,5276.0,5297.0,7.97291142647,1.0
Keila,5297.0,,5297.0,,
Demi,5292.0,,5292.0,,
Alessandro,,5289.0,5289.0,,
Johana,5271.0,11.0,5282.0,-8.90442935809,0.0
Gustave,,5278.0,5278.0,,
Matteo,,5275.0,5275.0,,
Tanesha,5274.0,,5274.0,,
Darcie,5270.0,,5270.0,,
Junius,,5264.0,5264.0,,
Denisse,5261.0,,5261.0,,
Karie,5259.0,,5259.0,,
Shon,354.0,4902.0,5256.0,3.79154921878,1.0
Adina,5256.0,,5256.0,,
Rhianna,5246.0,,5246.0,,
Janay,5246.0,,5246.0,,
Shanta,5099.0,142.0,5241.0,-5.16625150312,0.0
Giana,5241.0,,5241.0,,
Meryl,4809.0,431.0,5240.0,-3.47997715179,0.0
Austyn,1604.0,3635.0,5239.0,1.18028122235,1.0
Estefania,5231.0,5.0,5236.0,-10.0309429598,0.0
Charisse,5232.0,,5232.0,,
Keshawn,342.0,4883.0,5225.0,3.83569954775,1.0
Hardy,10.0,5215.0,5225.0,9.02652344252,1.0
Winter,4876.0,347.0,5223.0,-3.81269055804,0.0
Constantine,26.0,5196.0,5222.0,7.64274599731,1.0
Reanna,5221.0,,5221.0,,
Norine,5221.0,,5221.0,,
Kandy,5213.0,5.0,5218.0,-10.0259700497,0.0
Eleanora,5216.0,,5216.0,,
Ernestina,5216.0,,5216.0,,
Kelsea,5210.0,5.0,5215.0,-10.0251395623,0.0
Shelbi,5211.0,,5211.0,,
Lisbeth,5211.0,,5211.0,,
Calista,5210.0,,5210.0,,
Deron,35.0,5174.0,5209.0,7.20778132174,1.0
Shaylee,5209.0,,5209.0,,
Page,3717.0,1489.0,5206.0,-1.31979493428,0.0
Harland,,5206.0,5206.0,,
Rona,5198.0,,5198.0,,
Ryker,5.0,5188.0,5193.0,10.0190346694,1.0
Anais,5161.0,32.0,5193.0,-7.33343491528,0.0
Donita,5189.0,,5189.0,,
Rosina,5184.0,,5184.0,,
Elvera,5183.0,,5183.0,,
Shelbie,5180.0,,5180.0,,
Donell,591.0,4587.0,5178.0,2.9563208719,1.0
Nathen,,5175.0,5175.0,,
Jensen,1983.0,3192.0,5175.0,0.686775973993,1.0
Shaniya,5172.0,,5172.0,,
Jasmyn,5163.0,,5163.0,,
Kesha,5155.0,5.0,5160.0,-10.0098286174,0.0
Trena,5160.0,,5160.0,,
Bambi,5157.0,,5157.0,,
Stephani,5155.0,,5155.0,,
Filomena,5155.0,,5155.0,,
Yaritza,5147.0,5.0,5152.0,-10.0075879723,0.0
Candis,5149.0,,5149.0,,
Samual,,5145.0,5145.0,,
Arabella,5144.0,,5144.0,,
Alba,5035.0,108.0,5143.0,-5.54288856073,0.0
Albertha,5143.0,,5143.0,,
Linsey,4897.0,241.0,5138.0,-4.34479314448,0.0
Jaylyn,3829.0,1308.0,5137.0,-1.54960511935,0.0
Jacalyn,5134.0,,5134.0,,
Jannette,5133.0,,5133.0,,
Romona,5130.0,,5130.0,,
Baron,,5127.0,5127.0,,
Jeanetta,5117.0,,5117.0,,
Meg,5117.0,,5117.0,,
Shaniqua,5117.0,,5117.0,,
Eldridge,,5117.0,5117.0,,
Jerilyn,5115.0,,5115.0,,
Latonia,5097.0,16.0,5113.0,-8.31543263791,0.0
Winfield,,5110.0,5110.0,,
Louann,5109.0,,5109.0,,
Von,453.0,4650.0,5103.0,3.35964776084,1.0
Serina,5100.0,,5100.0,,
Melonie,5099.0,,5099.0,,
Kelton,26.0,5070.0,5096.0,7.60733031375,1.0
Shamar,249.0,4844.0,5093.0,4.28198121763,1.0
Orin,,5091.0,5091.0,,
Yajaira,5084.0,5.0,5089.0,-9.98982022012,0.0
Emmie,5087.0,,5087.0,,
Selene,5081.0,5.0,5086.0,-9.98896865391,0.0
Jordin,3314.0,1768.0,5082.0,-0.90645532783,0.0
Roxane,5080.0,,5080.0,,
Valentino,,5077.0,5077.0,,
Vina,5075.0,,5075.0,,
Jenni,5060.0,,5060.0,,
Joanie,5060.0,,5060.0,,
Orrin,,5060.0,5060.0,,
Kaylah,5059.0,,5059.0,,
Prudence,5035.0,,5035.0,,
Akeem,,5035.0,5035.0,,
Garrick,,5033.0,5033.0,,
Shamika,5022.0,6.0,5028.0,-9.70908381255,0.0
Roni,4385.0,643.0,5028.0,-2.7696862,0.0
Marcell,1126.0,3901.0,5027.0,1.79263717094,1.0
Amaris,4905.0,121.0,5026.0,-5.34117418383,0.0
Tariq,7.0,5019.0,5026.0,9.4858293087,1.0
Mauro,,5023.0,5023.0,,
Ardell,2635.0,2387.0,5022.0,-0.142604395443,0.0
Curtiss,,5020.0,5020.0,,
Arther,47.0,4973.0,5020.0,6.72531186413,1.0
Oswaldo,,5018.0,5018.0,,
Derik,,5016.0,5016.0,,
Annabell,5016.0,,5016.0,,
Myla,5015.0,,5015.0,,
Ryley,2178.0,2828.0,5006.0,0.376778166092,1.0
Tre,58.0,4947.0,5005.0,6.41435718903,1.0
Abigayle,4999.0,5.0,5004.0,-9.9654957168,0.0
Sherie,5003.0,,5003.0,,
Darline,5001.0,,5001.0,,
Keeley,4951.0,49.0,5000.0,-6.65879438985,0.0
Rosendo,,5000.0,5000.0,,
Greggory,,4999.0,4999.0,,
Saige,4437.0,562.0,4999.0,-2.9809425176,0.0
Delano,71.0,4924.0,4995.0,6.11586792698,1.0
Hayward,,4993.0,4993.0,,
Aryanna,4991.0,,4991.0,,
Elwin,5.0,4986.0,4991.0,9.9617390726,1.0
Shantell,4964.0,26.0,4990.0,-7.57684768199,0.0
Joi,4980.0,,4980.0,,
Eliezer,,4977.0,4977.0,,
Kamron,279.0,4697.0,4976.0,4.07340256643,1.0
Mika,4199.0,772.0,4971.0,-2.44337303557,0.0
Schuyler,1088.0,3881.0,4969.0,1.83474987654,1.0
Ivana,4953.0,,4953.0,,
Loy,872.0,4081.0,4953.0,2.22652267048,1.0
Alda,4938.0,10.0,4948.0,-8.94778302626,0.0
Amberly,4942.0,,4942.0,,
Zena,4940.0,,4940.0,,
Tawnya,4938.0,,4938.0,,
Nash,18.0,4919.0,4937.0,8.09422433828,1.0
Maryam,4937.0,,4937.0,,
Lanette,4937.0,,4937.0,,
Malcom,,4929.0,4929.0,,
Emmy,4924.0,,4924.0,,
Leisa,4922.0,,4922.0,,
Christene,4916.0,,4916.0,,
Cami,4915.0,,4915.0,,
Leia,4914.0,,4914.0,,
Mai,4889.0,20.0,4909.0,-7.93339559512,0.0
Anson,,4904.0,4904.0,,
Adella,4903.0,,4903.0,,
Wally,147.0,4755.0,4902.0,5.01555728091,1.0
Rivka,4900.0,,4900.0,,
Santino,,4899.0,4899.0,,
Seamus,,4897.0,4897.0,,
Marita,4897.0,,4897.0,,
Margarett,4894.0,,4894.0,,
Kathlyn,4894.0,,4894.0,,
Maliyah,4892.0,,4892.0,,
Donavon,,4892.0,4892.0,,
Abdul,,4890.0,4890.0,,
Ouida,4886.0,,4886.0,,
Terrill,714.0,4169.0,4883.0,2.54570539278,1.0
Tegan,3486.0,1397.0,4883.0,-1.31924054872,0.0
Albina,4882.0,,4882.0,,
Windy,4870.0,12.0,4882.0,-8.66474355625,0.0
Evonne,4881.0,,4881.0,,
Braiden,146.0,4731.0,4877.0,5.01810488663,1.0
Brandt,38.0,4837.0,4875.0,6.991969309,1.0
Remy,2054.0,2817.0,4871.0,0.455723382057,1.0
Marshal,74.0,4793.0,4867.0,6.01725985899,1.0
Mahlon,5.0,4860.0,4865.0,9.92481250361,1.0
Franco,,4863.0,4863.0,,
Leslee,4767.0,96.0,4863.0,-5.63390340935,0.0
Carnell,546.0,4315.0,4861.0,2.98238770315,1.0
Charissa,4861.0,,4861.0,,
Ephraim,,4857.0,4857.0,,
Allyn,1724.0,3131.0,4855.0,0.86086373405,1.0
Shirlene,4851.0,,4851.0,,
Kinley,4638.0,211.0,4849.0,-4.45818791594,0.0
Dontae,17.0,4831.0,4848.0,8.15064329618,1.0
Emogene,4844.0,,4844.0,,
Merlyn,1492.0,3349.0,4841.0,1.16648284045,1.0
Shara,4833.0,5.0,4838.0,-9.91677518454,0.0
Deshaun,232.0,4605.0,4837.0,4.31100444585,1.0
Tresa,4836.0,,4836.0,,
Felice,4144.0,690.0,4834.0,-2.58635573602,0.0
Dejuan,40.0,4794.0,4834.0,6.90508609876,1.0
Yareli,4832.0,,4832.0,,
Hezekiah,5.0,4826.0,4831.0,9.91468410533,1.0
Keyla,4827.0,,4827.0,,
Jacquelynn,4825.0,,4825.0,,
Delvin,22.0,4803.0,4825.0,7.7702884746,1.0
Domenick,,4825.0,4825.0,,
Geralyn,4824.0,,4824.0,,
Luciana,4818.0,,4818.0,,
Carleton,,4817.0,4817.0,,
Lyda,4812.0,5.0,4817.0,-9.91049283229,0.0
Del,672.0,4144.0,4816.0,2.62449086491,1.0
Yosef,,4812.0,4812.0,,
Lawerence,,4808.0,4808.0,,
Kalen,1317.0,3490.0,4807.0,1.40597169084,1.0
Tatianna,4805.0,,4805.0,,
Valery,4712.0,92.0,4804.0,-5.67856186777,0.0
Leandro,,4803.0,4803.0,,
Sunshine,4765.0,37.0,4802.0,-7.00880713317,0.0
Ishmael,,4799.0,4799.0,,
Sydni,4797.0,,4797.0,,
Kelby,1261.0,3534.0,4795.0,1.48673376422,1.0
Lynsey,4791.0,,4791.0,,
Dorotha,4787.0,,4787.0,,
Sabra,4785.0,,4785.0,,
Norene,4781.0,,4781.0,,
Alford,5.0,4776.0,4781.0,9.89965902638,1.0
Camren,465.0,4316.0,4781.0,3.21439224349,1.0
Estell,4232.0,547.0,4779.0,-2.95172688932,0.0
